ClientID,Age,IsMale,AvgPrice,RiskRate_High,RiskRate_Low,RiskRate_Medium,RiskRate_NotAssigned,AvgOrderRate_Difference_Constant,AvgOrderRate_Difference_Decreased,AvgOrderRate_Difference_Increased,AvgQuantityOrderedRate_Difference_Constant,AvgQuantityOrderedRate_Difference_Decreased,AvgQuantityOrderedRate_Difference_Increased,CompletedOrdersRatio_All,CompletedOrdersRatio_Lessthanhalf,CompletedOrdersRatio_Morethanhalf,CompletedOrdersRatio_None,CanceledOrdersRatio_All,CanceledOrdersRatio_Little,CanceledOrdersRatio_Moderate,CanceledOrdersRatio_Most,CanceledOrdersRatio_None,Most_Frequent_OrderType_Buy,Most_Frequent_OrderType_Sell,Most_Frequent_ExecutionStatus_Executed,Most_Frequent_ExecutionStatus_NotExecuted,Most_Frequent_ExecutionStatus_PartiallyExecuted,Most_Frequent_SectorName_BasicMaterials,Most_Frequent_SectorName_ConsumerDiscretionary,Most_Frequent_SectorName_ConsumerStaples,Most_Frequent_SectorName_Energy,Most_Frequent_SectorName_FOOD,Most_Frequent_SectorName_Financials,Most_Frequent_SectorName_HealthCare,Most_Frequent_SectorName_INDUSTRIAL,Most_Frequent_SectorName_INVESTMENT,Most_Frequent_SectorName_Industries,Most_Frequent_SectorName_InformationTechnology,Most_Frequent_SectorName_Materials,Most_Frequent_SectorName_Others,Most_Frequent_SectorName_REALESTATE,Most_Frequent_SectorName_RealEstate,Most_Frequent_SectorName_SERVICES,Most_Frequent_SectorName_TelecommunicationServices,Most_Frequent_SectorName_Telecommunications,Most_Frequent_SectorName_Tourism,Churned
2,3.9889840465642745,1,2.157867558597457,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,4.276666119016055,1,4.2892005795191395,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.8918202981106265,1,0.8850614685223462,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4.2626798770413155,1,3.9171242576025254,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3.6635616461296463,1,2.489103812271595,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,3.970291913552122,1,2.2968184980997086,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,4.1588830833596715,0,1.7836358757365125,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4.204692619390966,1,3.0164852368785957,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4.174387269895637,1,3.0705128599835674,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,3.4011973816621555,1,3.035673617189255,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4.007333185232471,0,1.1243504249687413,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4.356708826689592,0,2.6139836920631425,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,3.871201010907891,1,1.6893206073062712,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3.6109179126442243,1,4.241035893378544,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4.127134385045092,1,4.073455573443974,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3.784189633918261,1,2.107770005234369,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3.9318256327243257,1,3.637472355242366,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,3.871201010907891,0,3.3101276641876005,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,3.828641396489095,1,4.018662702584352,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3.871201010907891,1,0.3690388202424731,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35,3.784189633918261,1,1.8025310361599536,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3.912023005428146,0,1.8128684324382902,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,4.356708826689592,1,3.438017743957597,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3.9889840465642745,0,2.4441643954970713,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
