ClientID,Age,RiskRate,IsMale,CompletedOrdersRatio,CanceledOrdersRatio,AvgPrice,Most_Frequent_OrderType,Most_Frequent_ExecutionStatus,Most_Frequent_SectorName,AvgOrderRate_Difference,AvgQuantityOrderedRate_Difference,Churned
2,53,Low,1,More than half,Little,7.652666666666666,Buy,Executed,Industries,Increased,Increased,0
3,71,Low,1,More than half,Moderate,71.90816091954024,Sell,Executed,Financials,Increased,Increased,0
4,48,Low,1,Less than half,Most,1.4231333333333334,Sell,Not Executed,Financials,Increased,Increased,0
7,70,Not Assigned,1,More than half,Moderate,49.25571428571429,Buy,Executed,Financials,Decreased,Decreased,0
8,38,Medium,1,More than half,Moderate,11.050471794871795,Sell,Executed,Real Estate,Constant,Constant,0
11,52,Medium,1,More than half,None,8.9425,Buy,Executed,Materials,Constant,Constant,0
15,63,Not Assigned,0,More than half,None,4.951455882352941,Buy,Executed,Financials,Decreased,Decreased,0
16,66,Low,1,Less than half,Moderate,19.419396069912118,Buy,Executed,Energy,Constant,Constant,0
17,64,Low,1,More than half,Moderate,20.552953488372093,Buy,Executed,INVESTMENT,Increased,Increased,0
20,29,Low,1,Less than half,Moderate,19.814994516129033,Buy,Executed,Financials,Increased,Increased,0
23,54,Low,0,Less than half,Most,2.0782166666666666,Sell,Not Executed,Consumer Discretionary,Increased,Increased,0
24,77,Low,0,More than half,None,12.653333333333332,Buy,Executed,Materials,Increased,Increased,1
25,47,Low,1,Less than half,Little,4.4158,Sell,Not Executed,Financials,Increased,Increased,0
26,36,Not Assigned,1,More than half,Little,68.47978822567457,Buy,Executed,Financials,Increased,Increased,0
28,61,Not Assigned,1,Less than half,Little,57.75966049382716,Sell,Not Executed,Financials,Decreased,Decreased,0
29,43,Not Assigned,1,Less than half,Moderate,7.229868243243244,Sell,Not Executed,Financials,Decreased,Increased,0
30,50,Not Assigned,1,Less than half,Little,36.99567567567567,Sell,Not Executed,Industries,Increased,Increased,0
31,47,Not Assigned,0,Less than half,Moderate,26.388621794871796,Sell,Not Executed,Industries,Decreased,Increased,0
33,45,Low,1,More than half,Most,54.626666666666665,Buy,Executed,Financials,Increased,Increased,0
34,47,Low,1,Less than half,Moderate,0.44634375,Sell,Not Executed,INDUSTRIAL,Increased,Increased,1
35,43,Low,1,More than half,Most,5.064978734715577,Sell,Executed,Financials,Increased,Increased,0
36,49,Low,0,More than half,None,5.128,Buy,Executed,Information Technology,Increased,Increased,0
38,77,Low,1,Less than half,Little,30.125198863636363,Sell,Not Executed,Financials,Increased,Increased,0
41,53,Low,0,More than half,Moderate,10.520918644067796,Buy,Executed,Financials,Constant,Constant,1
43,39,Low,1,More than half,Moderate,3.93125,Buy,Executed,Materials,Constant,Constant,1
44,45,Low,0,Less than half,Moderate,32.79869565217391,Buy,Not Executed,Financials,Constant,Constant,1
45,35,Low,1,More than half,Little,31.69367432950192,Buy,Executed,Materials,Increased,Increased,0
46,51,Low,0,Less than half,Moderate,13.767343201754388,Sell,Executed,INDUSTRIAL,Constant,Constant,0
47,20,Low,0,All,None,1.3466666666666667,Buy,Executed,Health Care,Constant,Constant,1
52,69,Low,1,More than half,Little,9.090521276595744,Sell,Executed,Financials,Constant,Constant,1
53,23,Low,1,More than half,Most,0.6659999999999999,Buy,Executed,Consumer Staples,Constant,Constant,0
54,77,Low,0,All,None,1.3415,Buy,Executed,Financials,Increased,Increased,1
56,64,Low,1,More than half,Little,14.542457627118644,Sell,Executed,Financials,Increased,Increased,1
57,56,Low,1,All,None,1.675,Sell,Executed,Materials,Increased,Increased,1
58,53,Low,1,All,None,1.934375,Buy,Executed,Financials,Increased,Increased,1
59,63,Low,1,All,None,2.2245,Buy,Executed,Financials,Increased,Increased,0
61,40,Low,1,Less than half,Most,6.648095823095823,Buy,Not Executed,Financials,Increased,Increased,1
63,68,Low,1,Less than half,Moderate,18.551497584541064,Sell,Not Executed,Real Estate,Constant,Constant,0
65,57,Medium,0,Less than half,Most,11.583636363636364,Sell,Not Executed,Financials,Constant,Constant,1
66,66,Low,1,More than half,Moderate,8.574752702378092,Buy,Executed,Financials,Constant,Constant,0
